filename,model_index,val_accuracy
comps_100_dataset_FMNIST_method_svd_normalized1_0_normalized2_0_freezed_0_denses_0_dense-size_128_024,23,0.61
comps_100_dataset_FMNIST_method_svd_normalized1_0_normalized2_0_freezed_0_denses_0_dense-size_256_058,57,0.61
comps_100_dataset_FMNIST_method_svd_normalized1_0_normalized2_0_freezed_0_denses_1_dense-size_128_098,97,0.69
comps_100_dataset_FMNIST_method_svd_normalized1_0_normalized2_0_freezed_0_denses_1_dense-size_256_095,94,0.69
comps_100_dataset_FMNIST_method_svd_normalized1_0_normalized2_0_freezed_0_denses_2_dense-size_128_092,91,0.69
comps_100_dataset_FMNIST_method_svd_normalized1_0_normalized2_0_freezed_0_denses_2_dense-size_256_095,94,0.71
comps_100_dataset_FMNIST_method_svd_normalized1_0_normalized2_0_freezed_1_denses_0_dense-size_128_069,68,0.57
comps_100_dataset_FMNIST_method_svd_normalized1_0_normalized2_0_freezed_1_denses_0_dense-size_256_069,68,0.57
comps_100_dataset_FMNIST_method_svd_normalized1_0_normalized2_0_freezed_1_denses_1_dense-size_128_086,85,0.63
comps_100_dataset_FMNIST_method_svd_normalized1_0_normalized2_0_freezed_1_denses_1_dense-size_256_050,49,0.64
comps_100_dataset_FMNIST_method_svd_normalized1_0_normalized2_0_freezed_1_denses_2_dense-size_128_098,97,0.64
comps_100_dataset_FMNIST_method_svd_normalized1_0_normalized2_0_freezed_1_denses_2_dense-size_256_063,62,0.66
comps_100_dataset_FMNIST_method_svd_normalized1_1_normalized2_0_freezed_1_denses_0_dense-size_128_059,58,0.52
comps_100_dataset_FMNIST_method_svd_normalized1_1_normalized2_0_freezed_1_denses_0_dense-size_256_081,80,0.51
comps_100_dataset_FMNIST_method_svd_normalized1_1_normalized2_0_freezed_1_denses_1_dense-size_128_098,97,0.58
comps_100_dataset_FMNIST_method_svd_normalized1_1_normalized2_0_freezed_1_denses_1_dense-size_256_091,90,0.60
comps_100_dataset_FMNIST_method_svd_normalized1_1_normalized2_0_freezed_1_denses_2_dense-size_128_093,92,0.64
comps_100_dataset_FMNIST_method_svd_normalized1_1_normalized2_0_freezed_1_denses_2_dense-size_256_062,61,0.67
comps_100_dataset_FMNIST_method_svd_normalized1_1_normalized2_1_freezed_1_denses_0_dense-size_128_041,40,0.52
comps_100_dataset_FMNIST_method_svd_normalized1_1_normalized2_1_freezed_1_denses_0_dense-size_256_039,38,0.52
comps_100_dataset_FMNIST_method_svd_normalized1_1_normalized2_1_freezed_1_denses_1_dense-size_128_085,84,0.59
comps_100_dataset_FMNIST_method_svd_normalized1_1_normalized2_1_freezed_1_denses_1_dense-size_256_098,97,0.61
comps_100_dataset_FMNIST_method_svd_normalized1_1_normalized2_1_freezed_1_denses_2_dense-size_128_075,74,0.61
comps_100_dataset_FMNIST_method_svd_normalized1_1_normalized2_1_freezed_1_denses_2_dense-size_256_097,96,0.66
comps_10_dataset_FMNIST_method_svd_normalized1_0_normalized2_0_freezed_0_denses_0_dense-size_128_096,95,0.59
comps_10_dataset_FMNIST_method_svd_normalized1_0_normalized2_0_freezed_0_denses_0_dense-size_256_046,45,0.62
comps_10_dataset_FMNIST_method_svd_normalized1_0_normalized2_0_freezed_0_denses_1_dense-size_128_074,73,0.64
comps_10_dataset_FMNIST_method_svd_normalized1_0_normalized2_0_freezed_0_denses_1_dense-size_256_096,95,0.64
comps_10_dataset_FMNIST_method_svd_normalized1_0_normalized2_0_freezed_0_denses_2_dense-size_128_077,76,0.64
comps_10_dataset_FMNIST_method_svd_normalized1_0_normalized2_0_freezed_0_denses_2_dense-size_256_081,80,0.65
comps_10_dataset_FMNIST_method_svd_normalized1_0_normalized2_0_freezed_1_denses_0_dense-size_128_054,53,0.48
comps_10_dataset_FMNIST_method_svd_normalized1_0_normalized2_0_freezed_1_denses_0_dense-size_256_015,14,0.47
comps_10_dataset_FMNIST_method_svd_normalized1_0_normalized2_0_freezed_1_denses_1_dense-size_128_089,88,0.52
comps_10_dataset_FMNIST_method_svd_normalized1_0_normalized2_0_freezed_1_denses_1_dense-size_256_062,61,0.52
comps_10_dataset_FMNIST_method_svd_normalized1_0_normalized2_0_freezed_1_denses_2_dense-size_128_076,75,0.52
comps_10_dataset_FMNIST_method_svd_normalized1_0_normalized2_0_freezed_1_denses_2_dense-size_256_082,81,0.53
comps_10_dataset_FMNIST_method_svd_normalized1_1_normalized2_0_freezed_1_denses_0_dense-size_128_023,22,0.41
comps_10_dataset_FMNIST_method_svd_normalized1_1_normalized2_0_freezed_1_denses_0_dense-size_256_014,13,0.41
comps_10_dataset_FMNIST_method_svd_normalized1_1_normalized2_0_freezed_1_denses_1_dense-size_128_078,77,0.47
comps_10_dataset_FMNIST_method_svd_normalized1_1_normalized2_0_freezed_1_denses_1_dense-size_256_025,24,0.47
comps_10_dataset_FMNIST_method_svd_normalized1_1_normalized2_0_freezed_1_denses_2_dense-size_128_034,33,0.47
comps_10_dataset_FMNIST_method_svd_normalized1_1_normalized2_0_freezed_1_denses_2_dense-size_256_100,99,0.55
comps_10_dataset_FMNIST_method_svd_normalized1_1_normalized2_1_freezed_1_denses_0_dense-size_128_025,24,0.41
comps_10_dataset_FMNIST_method_svd_normalized1_1_normalized2_1_freezed_1_denses_0_dense-size_256_008,7,0.41
comps_10_dataset_FMNIST_method_svd_normalized1_1_normalized2_1_freezed_1_denses_1_dense-size_128_072,71,0.47
comps_10_dataset_FMNIST_method_svd_normalized1_1_normalized2_1_freezed_1_denses_1_dense-size_256_086,85,0.46
comps_10_dataset_FMNIST_method_svd_normalized1_1_normalized2_1_freezed_1_denses_2_dense-size_128_078,77,0.48
comps_10_dataset_FMNIST_method_svd_normalized1_1_normalized2_1_freezed_1_denses_2_dense-size_256_093,92,0.47
comps_20_dataset_FMNIST_method_svd_normalized1_0_normalized2_0_freezed_0_denses_0_dense-size_128_058,57,0.61
comps_20_dataset_FMNIST_method_svd_normalized1_0_normalized2_0_freezed_0_denses_0_dense-size_256_098,97,0.61
comps_20_dataset_FMNIST_method_svd_normalized1_0_normalized2_0_freezed_0_denses_1_dense-size_128_098,97,0.67
comps_20_dataset_FMNIST_method_svd_normalized1_0_normalized2_0_freezed_0_denses_1_dense-size_256_098,97,0.68
comps_20_dataset_FMNIST_method_svd_normalized1_0_normalized2_0_freezed_0_denses_2_dense-size_128_097,96,0.68
comps_20_dataset_FMNIST_method_svd_normalized1_0_normalized2_0_freezed_0_denses_2_dense-size_256_098,97,0.69
comps_20_dataset_FMNIST_method_svd_normalized1_0_normalized2_0_freezed_1_denses_0_dense-size_128_030,29,0.50
comps_20_dataset_FMNIST_method_svd_normalized1_0_normalized2_0_freezed_1_denses_0_dense-size_256_030,29,0.50
comps_20_dataset_FMNIST_method_svd_normalized1_0_normalized2_0_freezed_1_denses_1_dense-size_128_088,87,0.56
comps_20_dataset_FMNIST_method_svd_normalized1_0_normalized2_0_freezed_1_denses_1_dense-size_256_079,78,0.56
comps_20_dataset_FMNIST_method_svd_normalized1_0_normalized2_0_freezed_1_denses_2_dense-size_128_074,73,0.57
comps_20_dataset_FMNIST_method_svd_normalized1_0_normalized2_0_freezed_1_denses_2_dense-size_256_054,53,0.57
comps_20_dataset_FMNIST_method_svd_normalized1_1_normalized2_0_freezed_1_denses_0_dense-size_128_010,9,0.45
comps_20_dataset_FMNIST_method_svd_normalized1_1_normalized2_0_freezed_1_denses_0_dense-size_256_017,16,0.44
comps_20_dataset_FMNIST_method_svd_normalized1_1_normalized2_0_freezed_1_denses_1_dense-size_128_080,79,0.51
comps_20_dataset_FMNIST_method_svd_normalized1_1_normalized2_0_freezed_1_denses_1_dense-size_256_078,77,0.51
comps_20_dataset_FMNIST_method_svd_normalized1_1_normalized2_0_freezed_1_denses_2_dense-size_128_100,99,0.51
comps_20_dataset_FMNIST_method_svd_normalized1_1_normalized2_0_freezed_1_denses_2_dense-size_256_080,79,0.51
