batch_size,eps,fname,norm,steps,trials,acc,robust-acc
1000,0.15,comps_2_dataset_FMNIST_method_svd_v2_0_normalized1_0_normalized2_0_freezed_1_denses_1_dense-size_128_076,linf,40,1,0.5522,0.0109
1000,0.2,comps_2_dataset_FMNIST_method_svd_v2_0_normalized1_0_normalized2_0_freezed_1_denses_1_dense-size_128_076,linf,40,1,0.5522,0.0022
1000,0.3,comps_2_dataset_FMNIST_method_svd_v2_0_normalized1_0_normalized2_0_freezed_1_denses_1_dense-size_128_076,linf,40,1,0.5522,0.0003
1000,0.1,comps_2_dataset_FMNIST_method_svd_v2_0_normalized1_0_normalized2_0_freezed_1_denses_1_dense-size_128_076,linf,40,1,0.5522,0.0344
1000,2.0,comps_2_dataset_FMNIST_method_svd_v2_0_normalized1_0_normalized2_0_freezed_1_denses_1_dense-size_128_076,l2,40,1,0.5522,0.0304
1000,1.0,comps_2_dataset_FMNIST_method_svd_v2_0_normalized1_0_normalized2_0_freezed_1_denses_1_dense-size_128_076,l2,40,1,0.5522,0.1493
1000,0.2,comps_2_dataset_FMNIST_method_svd_v2_0_normalized1_0_normalized2_0_freezed_1_denses_1_dense-size_128_076,linf,100,1,0.5522,0.0033
1000,0.1,comps_2_dataset_FMNIST_method_svd_v2_0_normalized1_0_normalized2_0_freezed_1_denses_1_dense-size_128_076,linf,100,1,0.5522,0.0341
1000,0.15,comps_2_dataset_FMNIST_method_svd_v2_0_normalized1_0_normalized2_0_freezed_1_denses_1_dense-size_128_076,linf,100,1,0.5522,0.0115
1000,0.3,comps_2_dataset_FMNIST_method_svd_v2_0_normalized1_0_normalized2_0_freezed_1_denses_1_dense-size_128_076,linf,100,1,0.5522,0.0003
1000,2.0,comps_2_dataset_FMNIST_method_svd_v2_0_normalized1_0_normalized2_0_freezed_1_denses_1_dense-size_128_076,l2,100,1,0.5522,0.0304
1000,1.0,comps_2_dataset_FMNIST_method_svd_v2_0_normalized1_0_normalized2_0_freezed_1_denses_1_dense-size_128_076,l2,100,1,0.5522,0.1478
1000,0.1,comps_2_dataset_FMNIST_method_svd_v2_0_normalized1_0_normalized2_0_freezed_1_denses_1_dense-size_128_076,linf,40,10,0.5522,0.028
1000,0.15,comps_2_dataset_FMNIST_method_svd_v2_0_normalized1_0_normalized2_0_freezed_1_denses_1_dense-size_128_076,linf,40,10,0.5522,0.006
1000,0.2,comps_2_dataset_FMNIST_method_svd_v2_0_normalized1_0_normalized2_0_freezed_1_denses_1_dense-size_128_076,linf,40,10,0.5522,0.0005
1000,0.3,comps_2_dataset_FMNIST_method_svd_v2_0_normalized1_0_normalized2_0_freezed_1_denses_1_dense-size_128_076,linf,40,10,0.5522,0.0
1000,1.0,comps_2_dataset_FMNIST_method_svd_v2_0_normalized1_0_normalized2_0_freezed_1_denses_1_dense-size_128_076,l2,40,10,0.5522,0.1442
1000,2.0,comps_2_dataset_FMNIST_method_svd_v2_0_normalized1_0_normalized2_0_freezed_1_denses_1_dense-size_128_076,l2,40,10,0.5522,0.0257
1000,0.15,comps_2_dataset_FMNIST_method_svd_v2_0_normalized1_0_normalized2_0_freezed_1_denses_1_dense-size_128_076,linf,100,10,0.5522,0.0075
1000,0.3,comps_2_dataset_FMNIST_method_svd_v2_0_normalized1_0_normalized2_0_freezed_1_denses_1_dense-size_128_076,linf,100,10,0.5522,0.0
1000,0.2,comps_2_dataset_FMNIST_method_svd_v2_0_normalized1_0_normalized2_0_freezed_1_denses_1_dense-size_128_076,linf,100,10,0.5522,0.001
1000,0.1,comps_2_dataset_FMNIST_method_svd_v2_0_normalized1_0_normalized2_0_freezed_1_denses_1_dense-size_128_076,linf,100,10,0.5522,0.0293
1000,1.0,comps_2_dataset_FMNIST_method_svd_v2_0_normalized1_0_normalized2_0_freezed_1_denses_1_dense-size_128_076,l2,100,10,0.5522,0.1434
1000,2.0,comps_2_dataset_FMNIST_method_svd_v2_0_normalized1_0_normalized2_0_freezed_1_denses_1_dense-size_128_076,l2,100,10,0.5522,0.0255
1000,0.1,comps_6_dataset_FMNIST_method_svd_v2_0_normalized1_0_normalized2_0_freezed_0_denses_1_dense-size_128_074,linf,40,1,0.8555,0.006
1000,0.2,comps_6_dataset_FMNIST_method_svd_v2_0_normalized1_0_normalized2_0_freezed_0_denses_1_dense-size_128_074,linf,40,1,0.8555,0.0
1000,0.15,comps_6_dataset_FMNIST_method_svd_v2_0_normalized1_0_normalized2_0_freezed_0_denses_1_dense-size_128_074,linf,40,1,0.8555,0.0002
1000,0.3,comps_6_dataset_FMNIST_method_svd_v2_0_normalized1_0_normalized2_0_freezed_0_denses_1_dense-size_128_074,linf,40,1,0.8555,0.0
1000,2.0,comps_6_dataset_FMNIST_method_svd_v2_0_normalized1_0_normalized2_0_freezed_0_denses_1_dense-size_128_074,l2,40,1,0.8555,0.0048
1000,1.0,comps_6_dataset_FMNIST_method_svd_v2_0_normalized1_0_normalized2_0_freezed_0_denses_1_dense-size_128_074,l2,40,1,0.8555,0.0558
1000,0.2,comps_6_dataset_FMNIST_method_svd_v2_0_normalized1_0_normalized2_0_freezed_0_denses_1_dense-size_128_074,linf,100,1,0.8555,0.0
1000,0.3,comps_6_dataset_FMNIST_method_svd_v2_0_normalized1_0_normalized2_0_freezed_0_denses_1_dense-size_128_074,linf,100,1,0.8555,0.0
1000,0.1,comps_6_dataset_FMNIST_method_svd_v2_0_normalized1_0_normalized2_0_freezed_0_denses_1_dense-size_128_074,linf,100,1,0.8555,0.0057
1000,0.15,comps_6_dataset_FMNIST_method_svd_v2_0_normalized1_0_normalized2_0_freezed_0_denses_1_dense-size_128_074,linf,100,1,0.8555,0.0002
1000,2.0,comps_6_dataset_FMNIST_method_svd_v2_0_normalized1_0_normalized2_0_freezed_0_denses_1_dense-size_128_074,l2,100,1,0.8555,0.0048
1000,1.0,comps_6_dataset_FMNIST_method_svd_v2_0_normalized1_0_normalized2_0_freezed_0_denses_1_dense-size_128_074,l2,100,1,0.8555,0.0558
1000,0.1,comps_6_dataset_FMNIST_method_svd_v2_0_normalized1_0_normalized2_0_freezed_0_denses_1_dense-size_128_074,linf,40,10,0.8555,0.0052
1000,0.3,comps_6_dataset_FMNIST_method_svd_v2_0_normalized1_0_normalized2_0_freezed_0_denses_1_dense-size_128_074,linf,40,10,0.8555,0.0
1000,0.2,comps_6_dataset_FMNIST_method_svd_v2_0_normalized1_0_normalized2_0_freezed_0_denses_1_dense-size_128_074,linf,40,10,0.8555,0.0
1000,0.15,comps_6_dataset_FMNIST_method_svd_v2_0_normalized1_0_normalized2_0_freezed_0_denses_1_dense-size_128_074,linf,40,10,0.8555,0.0002
1000,1.0,comps_6_dataset_FMNIST_method_svd_v2_0_normalized1_0_normalized2_0_freezed_0_denses_1_dense-size_128_074,l2,40,10,0.8555,0.0494
1000,2.0,comps_6_dataset_FMNIST_method_svd_v2_0_normalized1_0_normalized2_0_freezed_0_denses_1_dense-size_128_074,l2,40,10,0.8555,0.0035
1000,0.15,comps_6_dataset_FMNIST_method_svd_v2_0_normalized1_0_normalized2_0_freezed_0_denses_1_dense-size_128_074,linf,100,10,0.8555,0.0002
1000,0.1,comps_6_dataset_FMNIST_method_svd_v2_0_normalized1_0_normalized2_0_freezed_0_denses_1_dense-size_128_074,linf,100,10,0.8555,0.005
1000,0.3,comps_6_dataset_FMNIST_method_svd_v2_0_normalized1_0_normalized2_0_freezed_0_denses_1_dense-size_128_074,linf,100,10,0.8555,0.0
1000,0.2,comps_6_dataset_FMNIST_method_svd_v2_0_normalized1_0_normalized2_0_freezed_0_denses_1_dense-size_128_074,linf,100,10,0.8555,0.0
1000,1.0,comps_6_dataset_FMNIST_method_svd_v2_0_normalized1_0_normalized2_0_freezed_0_denses_1_dense-size_128_074,l2,100,10,0.8555,0.0488
1000,2.0,comps_6_dataset_FMNIST_method_svd_v2_0_normalized1_0_normalized2_0_freezed_0_denses_1_dense-size_128_074,l2,100,10,0.8555,0.0033
1000,0.3,comps_2_dataset_FMNIST_method_svd_v2_1_normalized1_0_normalized2_0_freezed_1_denses_1_dense-size_128_065,linf,40,1,0.4632,0.0508
1000,0.2,comps_2_dataset_FMNIST_method_svd_v2_1_normalized1_0_normalized2_0_freezed_1_denses_1_dense-size_128_065,linf,40,1,0.4632,0.0617
1000,0.1,comps_2_dataset_FMNIST_method_svd_v2_1_normalized1_0_normalized2_0_freezed_1_denses_1_dense-size_128_065,linf,40,1,0.4632,0.1033
1000,0.15,comps_2_dataset_FMNIST_method_svd_v2_1_normalized1_0_normalized2_0_freezed_1_denses_1_dense-size_128_065,linf,40,1,0.4632,0.0694
1000,2.0,comps_2_dataset_FMNIST_method_svd_v2_1_normalized1_0_normalized2_0_freezed_1_denses_1_dense-size_128_065,l2,40,1,0.4632,0.0605
1000,1.0,comps_2_dataset_FMNIST_method_svd_v2_1_normalized1_0_normalized2_0_freezed_1_denses_1_dense-size_128_065,l2,40,1,0.4632,0.1226
1000,0.3,comps_2_dataset_FMNIST_method_svd_v2_1_normalized1_0_normalized2_0_freezed_1_denses_1_dense-size_128_065,linf,100,1,0.4632,0.0544
1000,0.15,comps_2_dataset_FMNIST_method_svd_v2_1_normalized1_0_normalized2_0_freezed_1_denses_1_dense-size_128_065,linf,100,1,0.4632,0.0828
1000,0.1,comps_2_dataset_FMNIST_method_svd_v2_1_normalized1_0_normalized2_0_freezed_1_denses_1_dense-size_128_065,linf,100,1,0.4632,0.1354
1000,0.2,comps_2_dataset_FMNIST_method_svd_v2_1_normalized1_0_normalized2_0_freezed_1_denses_1_dense-size_128_065,linf,100,1,0.4632,0.0617
1000,2.0,comps_2_dataset_FMNIST_method_svd_v2_1_normalized1_0_normalized2_0_freezed_1_denses_1_dense-size_128_065,l2,100,1,0.4632,0.0767
1000,1.0,comps_2_dataset_FMNIST_method_svd_v2_1_normalized1_0_normalized2_0_freezed_1_denses_1_dense-size_128_065,l2,100,1,0.4632,0.1694
1000,0.15,comps_2_dataset_FMNIST_method_svd_v2_1_normalized1_0_normalized2_0_freezed_1_denses_1_dense-size_128_065,linf,40,10,0.4632,0.0389
1000,0.1,comps_2_dataset_FMNIST_method_svd_v2_1_normalized1_0_normalized2_0_freezed_1_denses_1_dense-size_128_065,linf,40,10,0.4632,0.0661
1000,0.3,comps_2_dataset_FMNIST_method_svd_v2_1_normalized1_0_normalized2_0_freezed_1_denses_1_dense-size_128_065,linf,40,10,0.4632,0.004
1000,0.2,comps_2_dataset_FMNIST_method_svd_v2_1_normalized1_0_normalized2_0_freezed_1_denses_1_dense-size_128_065,linf,40,10,0.4632,0.0162
1000,2.0,comps_2_dataset_FMNIST_method_svd_v2_1_normalized1_0_normalized2_0_freezed_1_denses_1_dense-size_128_065,l2,40,10,0.4632,0.0257
1000,1.0,comps_2_dataset_FMNIST_method_svd_v2_1_normalized1_0_normalized2_0_freezed_1_denses_1_dense-size_128_065,l2,40,10,0.4632,0.0762
1000,0.3,comps_2_dataset_FMNIST_method_svd_v2_1_normalized1_0_normalized2_0_freezed_1_denses_1_dense-size_128_065,linf,100,10,0.4632,0.0114
1000,0.1,comps_2_dataset_FMNIST_method_svd_v2_1_normalized1_0_normalized2_0_freezed_1_denses_1_dense-size_128_065,linf,100,10,0.4632,0.086
1000,0.2,comps_2_dataset_FMNIST_method_svd_v2_1_normalized1_0_normalized2_0_freezed_1_denses_1_dense-size_128_065,linf,100,10,0.4632,0.0288
1000,0.15,comps_2_dataset_FMNIST_method_svd_v2_1_normalized1_0_normalized2_0_freezed_1_denses_1_dense-size_128_065,linf,100,10,0.4632,0.043
1000,2.0,comps_2_dataset_FMNIST_method_svd_v2_1_normalized1_0_normalized2_0_freezed_1_denses_1_dense-size_128_065,l2,100,10,0.4632,0.0378
1000,1.0,comps_2_dataset_FMNIST_method_svd_v2_1_normalized1_0_normalized2_0_freezed_1_denses_1_dense-size_128_065,l2,100,10,0.4632,0.1227
1000,0.3,comps_2_dataset_FMNIST_method_svd_v2_0_normalized1_0_normalized2_0_freezed_0_denses_1_dense-size_128_058,linf,40,1,0.7671,0.0
1000,0.1,comps_2_dataset_FMNIST_method_svd_v2_0_normalized1_0_normalized2_0_freezed_0_denses_1_dense-size_128_058,linf,40,1,0.7671,0.0005
1000,0.2,comps_2_dataset_FMNIST_method_svd_v2_0_normalized1_0_normalized2_0_freezed_0_denses_1_dense-size_128_058,linf,40,1,0.7671,0.0002
1000,0.15,comps_2_dataset_FMNIST_method_svd_v2_0_normalized1_0_normalized2_0_freezed_0_denses_1_dense-size_128_058,linf,40,1,0.7671,0.0
1000,1.0,comps_2_dataset_FMNIST_method_svd_v2_0_normalized1_0_normalized2_0_freezed_0_denses_1_dense-size_128_058,l2,40,1,0.7671,0.0156
1000,2.0,comps_2_dataset_FMNIST_method_svd_v2_0_normalized1_0_normalized2_0_freezed_0_denses_1_dense-size_128_058,l2,40,1,0.7671,0.0005
1000,0.1,comps_2_dataset_FMNIST_method_svd_v2_0_normalized1_0_normalized2_0_freezed_0_denses_1_dense-size_128_058,linf,100,1,0.7671,0.0006
1000,0.2,comps_2_dataset_FMNIST_method_svd_v2_0_normalized1_0_normalized2_0_freezed_0_denses_1_dense-size_128_058,linf,100,1,0.7671,0.0
1000,0.3,comps_2_dataset_FMNIST_method_svd_v2_0_normalized1_0_normalized2_0_freezed_0_denses_1_dense-size_128_058,linf,100,1,0.7671,0.0
1000,0.15,comps_2_dataset_FMNIST_method_svd_v2_0_normalized1_0_normalized2_0_freezed_0_denses_1_dense-size_128_058,linf,100,1,0.7671,0.0
1000,1.0,comps_2_dataset_FMNIST_method_svd_v2_0_normalized1_0_normalized2_0_freezed_0_denses_1_dense-size_128_058,l2,100,1,0.7671,0.015
1000,2.0,comps_2_dataset_FMNIST_method_svd_v2_0_normalized1_0_normalized2_0_freezed_0_denses_1_dense-size_128_058,l2,100,1,0.7671,0.0003
1000,0.3,comps_2_dataset_FMNIST_method_svd_v2_0_normalized1_0_normalized2_0_freezed_0_denses_1_dense-size_128_058,linf,40,10,0.7671,0.0
1000,0.2,comps_2_dataset_FMNIST_method_svd_v2_0_normalized1_0_normalized2_0_freezed_0_denses_1_dense-size_128_058,linf,40,10,0.7671,0.0
